MODULE_NAME,MODULE_OID,MODULE_IRI,ASSIGNMENT_NAME,ASSIGNMENT_TYPE,PARAMETERS_COUNT,TYPE_TYPE,TYPE_NAME,VALUE_TYPE,INFO_OBJECT_CLASS,ASSIGNMENT_INDEX,DEPENDENCY_INDEX,START_OFFSET,END_OFFSET,START_LINE,START_COLUMN,FILE_PATH
InformationFramework,2.5.1.1.8,,Attribute,TypeAssignment,1,SequenceType,,,,,,1371,1783,38,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeType,TypeAssignment,0,ObjectClassFieldType,,,,,,1785,1816,47,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeValue,TypeAssignment,0,ObjectClassFieldType,,,,,,1818,1852,49,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,Context,TypeAssignment,0,SequenceType,,,,,,1854,2066,51,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeValueAssertion,TypeAssignment,0,SequenceType,,,,,,2068,2426,58,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,ContextAssertion,TypeAssignment,0,SequenceType,,,,,,2428,2617,67,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeTypeAssertion,TypeAssignment,0,SequenceType,,,,,,2619,2795,73,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,SupportedAttributes,ObjectSetAssignment,0,,,,InformationFramework.ATTRIBUTE,,,3154,3225,84,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,SupportedContexts,ObjectSetAssignment,0,,,,InformationFramework.CONTEXT,,,3469,3504,90,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,Name,TypeAssignment,0,ChoiceType,,,,,,3528,3607,94,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,RDNSequence,TypeAssignment,0,SequenceOfType,,,,,,3609,3662,96,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,DistinguishedName,TypeAssignment,0,DefinedType,InformationFramework.RDNSequence,,,,,3664,3697,98,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,RelativeDistinguishedName,TypeAssignment,0,SetOfType,,,,,,3699,3771,100,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeTypeAndValue,TypeAssignment,0,SequenceType,,,,,,3773,3950,102,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,SubtreeSpecification,TypeAssignment,0,SequenceType,,,,,,3975,4164,109,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,LocalName,TypeAssignment,0,DefinedType,InformationFramework.RDNSequence,,,,,4220,4245,116,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,ChopSpecification,TypeAssignment,0,SequenceType,,,,,,4247,4518,118,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,BaseDistance,TypeAssignment,0,IntegerType,,,,,,4520,4552,127,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,Refinement,TypeAssignment,0,ChoiceType,,,,,,4554,4733,129,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,OBJECT-CLASS,ObjectClassAssignment,0,,,,,,,4791,5451,138,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,ObjectClassKind,TypeAssignment,0,EnumeratedType,,,,,,5453,5539,155,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,top,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,5560,5689,162,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,alias,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,5691,5828,168,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,parent,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,5830,5911,174,1,testroot/InformationFramework.asn1
