MODULE_NAME,MODULE_OID,MODULE_IRI,RELATION_TYPE,SYMBOL_NAME,USED_PARAM_BRACKETS,FROM_MODULE_NAME,FROM_MODULE_OID,FROM_MODULE_IRI,FROM_MODULE_SEL_OPT,START_OFFSET,END_OFFSET,START_LINE,START_COLUMN,FILE_PATH
InformationFramework,2.5.1.1.8,,IMPORT,directoryAbstractService,FALSE,UsefulDefinitions,2.5.1.0.8,,,586,610,16,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-ar,FALSE,UsefulDefinitions,2.5.1.0.8,,,612,617,16,29,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-at,FALSE,UsefulDefinitions,2.5.1.0.8,,,619,624,16,36,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-mr,FALSE,UsefulDefinitions,2.5.1.0.8,,,626,631,16,43,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-nf,FALSE,UsefulDefinitions,2.5.1.0.8,,,633,638,16,50,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-oa,FALSE,UsefulDefinitions,2.5.1.0.8,,,640,645,16,57,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-oc,FALSE,UsefulDefinitions,2.5.1.0.8,,,647,652,16,64,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,id-sc,FALSE,UsefulDefinitions,2.5.1.0.8,,,656,661,17,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,selectedAttributeTypes,FALSE,UsefulDefinitions,2.5.1.0.8,,,663,685,17,10,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,serviceAdministration,FALSE,UsefulDefinitions,2.5.1.0.8,,,687,708,17,34,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,SearchRule,FALSE,ServiceAdministration,2.5.1.33.8,,,796,806,20,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,TypeAndContextAssertion,FALSE,DirectoryAbstractService,2.5.1.2.8,,,909,932,25,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,booleanMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1040,1052,30,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,commonName,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1054,1064,30,17,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,dn,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1066,1068,30,29,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,generalizedTime,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1070,1085,30,33,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,generalizedTimeMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1087,1107,30,50,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,generalizedTimeOrderingMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1111,1139,31,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,integerFirstComponentMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1141,1167,31,33,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,integerMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1169,1181,31,61,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,integerOrderingMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1185,1205,32,3,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,objectIdentifierFirstComponentMatch,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1207,1242,32,25,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,oid,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1244,1247,32,62,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,subtreeSpec,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1249,1260,32,67,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,IMPORT,UnboundedDirectoryString,FALSE,SelectedAttributeTypes,2.5.1.5.8,,,1264,1288,33,3,testroot/InformationFramework.asn1
