OID_SOURCE,MODULE_NAME,MODULE_OID,MODULE_IRI,OID_NUM,OID_ASN1,OID_IRI,ASSIGNMENT_NAME,LAST_ARC_NAME,LAST_ARC_NUM,FILE_PATH,OID_BASE_URL,ALVESTRAND_URL,START_OFFSET,END_OFFSET,START_LINE,START_COLUMN,ASSIGNMENT_INDEX
MODULE,InformationFramework,2.5.1.1.8,,2.5.1.1.8,{ joint-iso-itu-t ds(5) module(1) informationFramework(1) 8 },/joint-iso-itu-t/ds/module/informationFramework/8,,,8,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.1.1.8,https://www.alvestrand.no/objectid/2.5.1.1.8.html,21,80,1,22,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.6.0,{ joint-iso-itu-t(2) ds(5) 6 0 },/joint-iso-itu-t/ds/6/0,id-oc-top,,0,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.6.0,https://www.alvestrand.no/objectid/2.5.6.0.html,22949,23019,667,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.6.1,{ joint-iso-itu-t(2) ds(5) 6 1 },/joint-iso-itu-t/ds/6/1,id-oc-alias,,1,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.6.1,https://www.alvestrand.no/objectid/2.5.6.1.html,23020,23090,668,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.6.28,{ joint-iso-itu-t(2) ds(5) 6 28 },/joint-iso-itu-t/ds/6/28,id-oc-parent,,28,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.6.28,https://www.alvestrand.no/objectid/2.5.6.28.html,23091,23162,669,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.6.29,{ joint-iso-itu-t(2) ds(5) 6 29 },/joint-iso-itu-t/ds/6/29,id-oc-child,,29,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.6.29,https://www.alvestrand.no/objectid/2.5.6.29.html,23163,23234,670,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.4.0,{ joint-iso-itu-t(2) ds(5) 4 0 },/joint-iso-itu-t/ds/4/0,id-at-objectClass,,0,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.4.0,https://www.alvestrand.no/objectid/2.5.4.0.html,23251,23321,674,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.4.1,{ joint-iso-itu-t(2) ds(5) 4 1 },/joint-iso-itu-t/ds/4/1,id-at-aliasedEntryName,,1,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.4.1,https://www.alvestrand.no/objectid/2.5.4.1.html,23322,23392,675,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.4.84,{ joint-iso-itu-t(2) ds(5) 4 84 },/joint-iso-itu-t/ds/4/84,id-at-pwdAttribute,,84,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.4.84,https://www.alvestrand.no/objectid/2.5.4.84.html,23393,23464,676,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.13.0,{ joint-iso-itu-t(2) ds(5) 13 0 },/joint-iso-itu-t/ds/13/0,id-mr-objectIdentifierMatch,,0,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.13.0,https://www.alvestrand.no/objectid/2.5.13.0.html,23485,23555,680,1,
ASSIGNMENT,InformationFramework,2.5.1.1.8,,2.5.13.1,{ joint-iso-itu-t(2) ds(5) 13 1 },/joint-iso-itu-t/ds/13/1,id-mr-distinguishedNameMatch,,1,testroot/InformationFramework.asn1,https://oid-base.com/get/2.5.13.1,https://www.alvestrand.no/objectid/2.5.13.1.html,23556,23626,681,1,
